State,Year,Market Name,Count
Alabama,2013,Business Intelligence,1
Alabama,2013,Data Visualization,1
Alabama,2013,Cloud Computing,1
Alabama,2013,Mobile,1
Alabama,2013,Social Media Management,1
Alabama,2013,Web Design,1
Alabama,2013,Web Development,1
Alabama,2013,Social Media Marketing,1
Alabama,2013,SEO,1
Alabama,2013,Software,1
Alabama,2013,Digital Marketing,1
Alabama,2004,Service Industry,1
Alabama,2004,Document Management,1
Alabama,2004,Health Care,1
Alabama,2006,Video Games,1
Alabama,2006,Digital Media,1
Alabama,2006,Gaming,1
Alabama,2011,Automotive,1
Alabama,2011,Fleet Management,1
Alabama,2011,Software,2
Alabama,2011,Search Engine,1
Alabama,2011,Big Data,1
Alabama,2011,Education,1
Alabama,2011,Information Technology,1
Alabama,2011,Apps,1
Alabama,2011,EdTech,1
Alabama,2011,Agriculture,1
Alabama,2011,Medical,1
Alabama,2015,Beauty,1
Alabama,2015,Marketplace,1
Alabama,2015,Mobile Apps,1
Alabama,2015,Sporting Goods,1
Alabama,2012,Nanotechnology,1
Alabama,2012,Industrial,1
Alabama,2012,Plastics and Rubber Manufacturing,1
Alabama,2012,Automotive,1
Alabama,2012,Gamification,1
Alabama,2012,Apps,1
Alabama,2012,Charity,1
Alabama,2012,Events,1
Alabama,2012,Hedge Funds,1
Alabama,2012,Non Profit,1
Alabama,2012,Financial Services,1
Alabama,2012,Biotechnology,1
Alabama,2012,Medical,1
Alabama,2012,Pharmaceutical,1
Alabama,2014,Health Care,1
Alabama,2014,Delivery,1
Alabama,2014,Grocery,1
Alabama,2014,E-Commerce,1
Alabama,2014,Home Renovation,1
Alabama,2014,Internet,1
Alabama,2016,Social Media Marketing,1
Alabama,2016,Photo Sharing,1
Alabama,2000,Document Management,1
Alabama,2000,Software,1
Alabama,2009,Telecommunications,1
Alabama,2009,PaaS,1
Alabama,2009,Video,1
Alabama,2009,Video Streaming,1
Alabama,2009,Cloud Data Services,1
Alabama,2009,Audio,1
Alabama,2009,Mobile,1
Alabama,1999,Service Industry,1
Alabama,1999,Hospitality,1
Alabama,1999,Family,1
Alabama,1996,Hardware,1
Alabama,1996,Software,1
Alabama,2001,Software,1
Alabama,2001,Ticketing,1
Arkansas,1995,Marketing,1
Arkansas,1995,Social Media Marketing,1
Arkansas,1995,E-Commerce,1
Arkansas,2011,Agriculture,1
Arkansas,2011,Hospitality,1
Arkansas,2011,Social Media,1
Arkansas,2011,Analytics,1
Arkansas,2011,Enterprise Software,1
Arkansas,2011,Lifestyle,1
Arkansas,2011,Fashion,1
Arkansas,2011,E-Commerce,1
Arkansas,2014,Mobile Apps,1
Arkansas,2014,Developer APIs,1
Arkansas,2014,Education,1
Arkansas,2014,Logistics,1
Arkansas,2014,Medical,1
Arkansas,2014,Health Diagnostics,1
Arkansas,2014,Health Care,1
Arkansas,2014,Brand Marketing,1
Arkansas,2014,Retail,2
Arkansas,2014,Retail Technology,1
Arkansas,2014,Customer Service,1
Arkansas,2014,Men's,1
Arkansas,2014,Fashion,1
Arkansas,2010,Mobile,2
Arkansas,2010,Publishing,1
Arkansas,2010,Art,1
Arkansas,2010,Digital Media,1
Arkansas,2010,Search Engine,1
Arkansas,2010,Universities,1
Arkansas,2010,Education,1
Arkansas,2010,Market Research,1
Arkansas,2010,Enterprise Software,1
Arkansas,2010,Retail,1
Arkansas,2010,Information Technology,1
Arkansas,2010,Crowdsourcing,1
Arkansas,2013,iOS,1
Arkansas,2013,Software,1
Arkansas,2013,Apps,1
Arkansas,2013,Mobile,2
Arkansas,2013,Android,1
Arkansas,2013,Hardware,1
Arkansas,2013,Casual Games,1
Arkansas,2013,Market Research,1
Arkansas,2013,Enterprise Software,2
Arkansas,2013,Finance,1
Arkansas,2013,Accounting,1
